# Temporary.  List of images names, the storage account sub-path for each one, and the list of storage accounts that,,,,,
# contain the image.,,,,,,,
# Format:,,,,,,,
# Image Name,Labels,Storage Account Sub Path,Semi-colon delimited list of storage accounts, or All for all storage accounts in StorageAccounts.txt,,,
ImageName,Labels,OSType,Container,BlobName,StorageAccounts,StartupScriptPath,AgentWorkspace
ubuntu1404-20161020,ubuntu1404-20161020,Linux,system,Microsoft.Compute/Images/dotnetci/ubuntu1404-20170822-osDisk.73ac155d-5855-4660-8ba4-30d4645dfdca.vhd,All,./startupScripts/ubuntu1404-20161020.sh,/mnt/j
ubuntu1404-20170109,ubuntu1404-20170109,Linux,system,Microsoft.Compute/Images/dotnetci/ubuntu1404-20170828-osDisk.2d38110f-1ba4-4962-9ba9-d8e6854aeaf1.vhd,All,./startupScripts/ubuntu1404-20170109.sh,/mnt/j
ubuntu1404-20170118,ubuntu1404-20170118,Linux,system,Microsoft.Compute/Images/dotnetci/ubuntu1404-20170829-osDisk.9dfcc9eb-95b6-453e-adbf-e284e1d8205a.vhd,All,./startupScripts/ubuntu1404-20170118.sh,/mnt/j
ubuntu1404-20170821,ubuntu1404-20170821,Linux,system,Microsoft.Compute/Images/dotnetci/ubuntu1404-20170821-osDisk.715042c0-8f22-4a7d-9c64-23463fa4bf7a.vhd,All,./startupScripts/ubuntu1404-20170821.sh,/mnt/j
ubuntu1404-20170925,ubuntu1404-20170925,Linux,system,Microsoft.Compute/Images/dotnetci/ubuntu1404-20170925-osDisk.e9bb0d99-38ce-4463-b4e2-4777af29c70e.vhd,All,./startupScripts/ubuntu1404-20170925.sh,/mnt/j
ubuntu1604-20170216,ubuntu1604-20170216,Linux,system,Microsoft.Compute/Images/dotnetci/ubuntu1604-20170830-osDisk.ca156cab-c57e-45fd-b980-57199ac0e78a.vhd,All,./startupScripts/ubuntu1604-20170216.sh,/mnt/j
ubuntu1604-20170216-outer,ubuntu1604-20170216-outer,Linux,system,Microsoft.Compute/Images/dotnetci/ubuntu1604-20170830-osDisk.ca156cab-c57e-45fd-b980-57199ac0e78a.vhd,All,./startupScripts/ubuntu1604-20170216-outer.sh,/mnt/j
ubuntu1604-20170526,ubuntu1604-20170526,Linux,system,Microsoft.Compute/Images/dotnetci/ubuntu1604-20170906-osDisk.a4a70718-78cb-49be-b8f3-ffb1ec7fcbb6.vhd,All,./startupScripts/ubuntu1604-20170526.sh,/mnt/j
ubuntu1604-20170731,ubuntu1604-20170731,Linux,system,Microsoft.Compute/Images/dotnetci/ubuntu1604-20170828-osDisk.8d2c4f36-cf52-4b99-8ef4-f7a2fc8f85ec.vhd,All,./startupScripts/ubuntu1604-20170216.sh,/mnt/j
ubuntu1604-20170925-1,ubuntu1604-20170925-1,Linux,system,Microsoft.Compute/Images/dotnetci/ubuntu1604-20171003-osDisk.f1f7365d-e328-4ecd-b9f2-0628e40e3a4b.vhd,All,./startupScripts/ubuntu1604-20170925-1.sh,/mnt/j
